Date,Close,Volume,Open,High,Low,month,day,year
01-06-2020,99.54,4299739,98.4,99.78,97.89,6,1,2020
29-05-2020,98.58,10333350,98.19,99.25,96.93,5,29,2020
28-05-2020,98.46,7262328,100.09,100.69,98.25,5,28,2020
27-05-2020,99.87,7915885,98.12,99.99,97.62,5,27,2020
26-05-2020,96.62,7185192,95.98,97.43,95.28,5,26,2020
22-05-2020,93.75,4049578,94.42,94.65,93.35,5,22,2020
21-05-2020,94.26,7504258,92.88,94.38,92.37,5,21,2020
20-05-2020,92.95,6346990,93.2,93.86,92.7,5,20,2020
19-05-2020,91.51,6514141,90.85,93.82,90.82,5,19,2020
18-05-2020,91.04,8519615,90.49,91.6,89.88,5,18,2020
15-05-2020,86.99,9164990,85.25,87.23,84.88,5,15,2020
14-05-2020,86.55,7431774,85,86.58,84.11,5,14,2020
13-05-2020,86.02,6739827,87.38,87.74,85.2,5,13,2020
12-05-2020,88.26,5622578,91.53,91.67,88.15,5,12,2020
11-05-2020,90.93,4937550,89.45,91.42,89.14,5,11,2020
08-05-2020,90.46,5489391,90.11,90.64,89.5874,5,8,2020
07-05-2020,88.56,4566317,89.4,90.24,88.375,5,7,2020
06-05-2020,88.44,7342304,88.05,88.69,87.43,5,6,2020
05-05-2020,87.2,6321466,86.54,88.525,86.03,5,5,2020
04-05-2020,85.75,6349037,84.68,85.8,84.31,5,4,2020
01-05-2020,85.54,6151242,85.67,86.105,84.81,5,1,2020
30-04-2020,87.18,9371430,87,88,86.505,4,30,2020
29-04-2020,88.07,9461406,90,91.39,87.83,4,29,2020
28-04-2020,88.8,5145355,90.55,90.71,88.63,4,28,2020
27-04-2020,89.37,6875240,88.38,89.87,87.31,4,27,2020
24-04-2020,88.37,4450191,88.89,89.12,87.645,4,24,2020
23-04-2020,87.35,5343535,88.94,89.53,87.26,4,23,2020
22-04-2020,88.77,6463929,86.98,89.44,86.42,4,22,2020
21-04-2020,85.2,6596992,85.99,86.9,85.09,4,21,2020
20-04-2020,87.9,7244372,88.43,89.44,87.52,4,20,2020
17-04-2020,89.91,8111384,89,90.25,88.36,4,17,2020
16-04-2020,86.3,9373831,85.43,86.53,84.55,4,16,2020
15-04-2020,85.04,8053875,84.87,85.875,83.71,4,15,2020
14-04-2020,87.47,6397244,85.95,87.77,85.48,4,14,2020
13-04-2020,84.46,5077961,85.8,85.99,84.14,4,13,2020
09-04-2020,86.79,7773978,86.69,87.3896,85.16,4,9,2020
08-04-2020,85.3,6642735,84.7,85.77,83.61,4,8,2020
07-04-2020,84.16,10468060,88.7,88.87,84.03,4,7,2020
06-04-2020,84.63,11266500,81.91,85.04,81.21,4,6,2020
03-04-2020,78.86,8476870,79.36,79.79,77.905,4,3,2020
02-04-2020,80.14,12731460,79,81.6,77.16,4,2,2020
01-04-2020,79.23,9771306,79.49,81.18,78.53,4,1,2020
31-03-2020,82.74,9618581,85.13,85.73,82.4,3,31,2020
30-03-2020,85.38,10960130,84,85.96,81.5,3,30,2020
27-03-2020,83.23,14183380,81.7,85.74,79.51,3,27,2020
26-03-2020,84.3,17204690,80.17,86.86,80.01,3,26,2020
25-03-2020,79.01,27053250,80.11,83.4899,76.2,3,25,2020
24-03-2020,72.33,18849460,65.7,72.66,64,3,24,2020
23-03-2020,62.8,17690000,65,66.88,60.58,3,23,2020
20-03-2020,67.45,15761860,71.51,74.06,67.2,3,20,2020
19-03-2020,70.34,16177150,67.04,72.71,64.15,3,19,2020
18-03-2020,68.04,19498810,64.79,68.33,60,3,18,2020
17-03-2020,69.84,17122100,67.51,73.3299,62.4,3,17,2020
16-03-2020,66.79,17976680,65.28,72.97,63.37,3,16,2020
13-03-2020,75.58,21859580,78.2,78.2,71.76,3,13,2020
12-03-2020,74.2,21534810,78.23,78.49,73,3,12,2020
11-03-2020,84,16172670,84,84.625,82.07,3,11,2020
10-03-2020,88.3,12755880,86.69,88.4,82.88,3,10,2020
09-03-2020,84.11,13272740,81.89,86.74,80.92,3,9,2020
06-03-2020,88.36,12336710,88.36,89.39,85.88,3,6,2020
05-03-2020,90.58,8851096,91.26,91.68,89.94,3,5,2020
04-03-2020,93.79,6904443,92.08,93.82,90.84,3,4,2020
03-03-2020,90.93,14767610,92.74,94.98,90.57,3,3,2020
02-03-2020,92.68,14102050,89.6,93.14,87.91,3,2,2020
28-02-2020,89.38,16565660,86.03,89.47,85.15,2,28,2020
27-02-2020,88.55,12825660,90,93.06,88.5,2,27,2020
26-02-2020,92,9308916,93.08,94.65,91.99,2,26,2020
25-02-2020,92.9,9602121,96.35,96.76,92.62,2,25,2020
24-02-2020,95.91,8364218,95.54,97.07,95.25,2,24,2020
21-02-2020,100.25,5750854,102,102.08,99.63,2,21,2020
20-02-2020,102.53,6427606,102.46,102.63,100.55,2,20,2020
19-02-2020,102.46,6200501,102.66,103.39,102.43,2,19,2020
18-02-2020,102,4916709,103,103.38,101.61,2,18,2020
14-02-2020,103.54,4305480,103.53,103.89,102.445,2,14,2020
13-02-2020,103.37,5386913,102.51,103.74,101.68,2,13,2020
12-02-2020,103,8075612,100.74,103.08,100.44,2,12,2020
11-02-2020,100.02,4871893,100.07,100.35,99.44,2,11,2020
10-02-2020,100.02,4213929,99.22,100.51,99,2,10,2020
07-02-2020,99.44,4122035,99.81,100.4,98.97,2,7,2020
06-02-2020,100.27,5641823,100.9,101.53,100.155,2,6,2020
05-02-2020,100.54,6108309,101.76,101.97,99.53,2,5,2020
04-02-2020,101.38,6559561,101.91,102.78,101.26,2,4,2020
03-02-2020,99.27,9727690,99,100.92,98.57,2,3,2020
31-01-2020,96.3,8780345,98.11,98.45,95.92,1,31,2020
30-01-2020,98.19,7065065,99.02,99.75,97.37,1,30,2020
29-01-2020,99.84,4504110,101.07,101.3,99.17,1,29,2020
28-01-2020,100.41,5673193,100.34,101.05,99.52,1,28,2020
27-01-2020,100.24,9841427,98.21,100.71,98.01,1,27,2020
24-01-2020,102.03,3839278,103.59,103.89,101.66,1,24,2020
23-01-2020,103.02,7102868,104.03,104.37,102.62,1,23,2020
22-01-2020,104.49,5031401,105,105.62,104.42,1,22,2020
21-01-2020,104.58,4854693,104.25,104.69,103.81,1,21,2020
17-01-2020,104.53,6271369,103.43,104.55,103.34,1,17,2020
16-01-2020,103.37,6571710,102.88,103.57,102.85,1,16,2020
15-01-2020,102.79,4209191,103.25,103.6999,102.475,1,15,2020
14-01-2020,102.92,5088633,102.45,103.89,102.35,1,14,2020
13-01-2020,102.16,6722718,101,102.34,100.82,1,13,2020
10-01-2020,100.9,5135459,101.89,101.93,100.76,1,10,2020
09-01-2020,101.48,5007639,101.94,102.41,101.385,1,9,2020
08-01-2020,101.55,4942205,101.31,102.14,100.85,1,8,2020
07-01-2020,101.78,6818719,101.81,102.74,100.8126,1,7,2020
06-01-2020,101.83,4612752,100.95,101.84,100.8686,1,6,2020
03-01-2020,101.92,4542003,100.59,102,100.31,1,3,2020
02-01-2020,102.2,5644162,101.36,102.21,101.015,1,2,2020
